Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  192    379.02      10.27      0      2     405.04      26.02      415.31      36.29
  193    379.49      3.50      0      0     407.46      27.97      410.96      31.47
  194    379.74      1.60      0      1     408.16      28.42      409.76      30.02
  195    381.86      1.31      0      1     409.76      27.90      411.07      29.22
  196    387.04      30.45      0      0     410.96      23.92      441.41      54.37
  197    389.11      25.99      0      1     411.07      21.96      437.06      47.95
  198    389.39      8.84      0      2     415.31      25.92      424.15      34.76
  203    394.43      1.13      0      2     424.15      29.72      425.27      30.84
  209    405.71      17.41      0      2     425.27      19.56      442.69      36.97
  210    412.08      3.27      0      1     437.06      24.98      440.34      28.26
  211    415.47      8.68      0      1     440.34      24.87      449.02      33.55
  212    420.27      0.56      0      0     441.41      21.14      441.97      21.69
  213    421.09      17.93      0      0     441.97      20.88      459.90      38.81
  214    422.45      2.06      0      2     442.69      20.24      444.75      22.30
  215    431.46      0.30      0      2     444.75      13.29      445.05      13.59
  216    432.76      13.34      0      2     445.05      12.29      458.39      25.63
  217    435.12      0.78      0      1     449.02      13.91      449.80      14.68
  218    435.18      1.55      0      1     449.80      14.62      451.34      16.16
  219    435.24      18.77      0      1     451.34      16.11      470.12      34.88
  221    437.99      1.74      0      2     458.39      20.39      460.13      22.13
  223    442.26      6.12      0      0     459.90      17.63      466.02      23.76
  224    444.12      12.69      0      2     460.13      16.01      472.82      28.70
  225    446.50      0.07      0      0     466.02      19.52      466.09      19.59
  226    446.88      2.19      0      0     466.09      19.20      468.27      21.39
  227    449.21      12.72      0      0     468.27      19.06      480.99      31.78
  228    449.82      44.66      0      1     470.12      20.30      514.78      64.96
  229    450.73      0.97      0      2     472.82      22.09      473.79      23.06
  230    452.03      12.52      0      2     473.79      21.76      486.31      34.28
  231    452.23      0.98      0      0     480.99      28.76      481.97      29.74
  234    460.63      4.23      0      0     481.97      21.33      486.20      25.56
  235    460.82      6.13      0      0     486.20      25.38      492.33      31.51
  236    461.12      2.92      0      2     486.31      25.19      489.23      28.12
  239    466.53      2.10      0      2     489.23      22.71      491.34      24.81
  240    466.55      4.59      0      2     491.34      24.79      495.93      29.38
  243    470.43      6.86      0      0     492.33      21.90      499.19      28.76
  244    475.18      0.51      0      2     495.93      20.75      496.43      21.26
  245    477.50      10.21      0      2     496.43      18.94      506.64      29.15
  246    478.79      0.91      0      0     499.19      20.39      500.10      21.30



