Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  209    405.71      17.41      0      2     428.67      22.96      446.08      40.37
  210    412.08      3.27      0      3     433.15      21.06      436.42      24.34
  211    415.47      8.68      0      0     433.59      18.13      442.28      26.81
  212    420.27      0.56      0      3     436.42      16.15      436.98      16.71
  213    421.09      17.93      0      3     436.98      15.89      454.91      33.82
  214    422.45      2.06      0      0     442.28      19.83      444.34      21.89
  215    431.46      0.30      0      0     444.34      12.88      444.64      13.18
  216    432.76      13.34      0      0     444.64      11.88      457.98      25.22
  217    435.12      0.78      0      2     446.08      10.97      446.86      11.74
  218    435.18      1.55      0      2     446.86      11.68      448.40      13.22
  219    435.24      18.77      0      2     448.40      13.17      467.18      31.94
  220    436.70      2.07      0      1     451.63      14.93      453.70      16.99
  221    437.99      1.74      0      1     453.70      15.70      455.44      17.44
  222    440.12      55.39      0      3     454.91      14.79      510.30      70.19
  223    442.26      6.12      0      1     455.44      13.18      461.56      19.30
  224    444.12      12.69      0      0     457.98      13.86      470.66      26.55
  225    446.50      0.07      0      1     461.56      15.06      461.63      15.13
  226    446.88      2.19      0      1     461.63      14.74      463.81      16.93
  227    449.21      12.72      0      1     463.81      14.60      476.53      27.32
  228    449.82      44.66      0      2     467.18      17.36      511.84      62.02
  229    450.73      0.97      0      0     470.66      19.94      471.64      20.91
  230    452.03      12.52      0      0     471.64      19.61      484.16      32.13
  233    454.46      2.43      0      1     476.53      22.07      478.96      24.50
  234    460.63      4.23      0      1     478.96      18.32      483.19      22.56
  235    460.82      6.13      0      1     483.19      22.37      489.32      28.50
  236    461.12      2.92      0      0     484.16      23.04      487.08      25.97
  237    465.89      4.53      0      0     487.08      21.19      491.61      25.72
  238    465.93      11.59      0      1     489.32      23.39      500.91      34.98
  239    466.53      2.10      0      0     491.61      25.09      493.72      27.19
  242    467.90      4.71      0      0     493.72      25.82      498.43      30.53
  244    475.18      0.51      0      0     498.43      23.25      498.93      23.76
  245    477.50      10.21      0      0     498.93      21.44      509.14      31.65
  246    478.79      0.91      0      1     500.91      22.12      501.82      23.03



Customers Who did not stay



Customer  Arrival    Service
   Id      Time       Time  
--------  -------    -------
32    47.40      2.71
33    48.34      5.67
35    51.08      2.84
36    53.10      0.97
37    53.86      15.09
38    54.29      14.40
56    97.99      10.04
57    98.77      1.76
86    149.73      8.35
231    452.23      0.98
232    452.63      5.14
240    466.55      4.59
241    466.97      3.13
243    470.43      6.86



Number of Tellers: 4
Number of Queues: 1
Max number allowed to wait: 10
Customer arrival rate (per hr): 30.0
Customer service time (ave min): 8.0
Number of customers arrived: 246
Number of customers served: 232
Num. Turned Away: 14
Num. who waited: 198
Average Wait: 10.32389396791234
Max Wait: 27.183616829028665
Std. Dev. Wait: 7.4434333595005455
Ave. Service: 8.19622761419677
Average Waiter Wait: 12.096683841190217
Ave. in System: 18.520121582109102

Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  1    0.65      7.70      -1      0     0.65      0.00      8.36      7.70
  2    1.49      10.95      -1      1     1.49      0.00      12.44      10.95
  3    4.61      8.79      -1      2     4.61      0.00      13.39      8.79
  4    7.11      14.06      -1      3     7.11      0.00      21.17      14.06
  5    10.82      5.62      -1      0     10.82      0.00      16.44      5.62
  6    12.90      5.21      -1      1     12.90      0.00      18.11      5.21
  8    14.64      12.42      -1      2     14.64      0.00      27.06      12.42
  7    13.06      2.51      0      0     16.44      3.38      18.95      5.89
  9    15.90      5.44      1      1     18.11      2.21      23.56      7.66
  11    18.20      5.34      0      0     18.95      0.75      24.29      6.09
  14    20.59      0.51      3      3     21.17      0.59      21.69      1.10
  15    21.77      16.89      -1      3     21.77      0.00      38.66      16.89
  13    19.91      10.36      1      1     23.56      3.64      33.91      14.00
  12    19.86      10.74      0      0     24.29      4.43      35.03      15.17
  10    16.06      3.26      2      2     27.06      11.00      30.32      14.26
  20    27.31      13.22      2      2     30.32      3.01      43.53      16.22
  17    23.93      23.92      1      1     33.91      9.98      57.83      33.90
  18    23.98      8.47      0      0     35.03      11.05      43.50      19.52
  16    21.83      13.13      3      3     38.66      16.83      51.79      29.96
  19    24.93      8.92      0      0     43.50      18.57      52.41      27.48
  22    32.66      16.43      2      2     43.53      10.88      59.96      27.31
  26    37.25      4.49      3      3     51.79      14.54      56.28      19.03
  24    35.37      6.72      0      0     52.41      17.04      59.13      23.75
  27    38.67      0.71      3      3     56.28      17.61      56.99      18.32
  36    53.10      0.97      3      3     56.99      3.89      57.96      4.86
  21    30.16      13.78      1      1     57.83      27.68      71.62      41.46
  39    58.21      15.91      -1      3     58.21      0.00      74.12      15.91
  28    42.37      7.55      0      0     59.13      16.76      66.68      24.31
  25    36.52      4.41      2      2     59.96      23.44      64.38      27.85
  29    46.41      32.38      2      2     64.38      17.97      96.76      50.35
  30    47.09      5.01      0      0     66.68      19.59      71.69      24.60
  23    34.92      5.11      1      1     71.62      36.69      76.73      41.80
  37    53.86      15.09      0      0     71.69      17.83      86.78      32.92
  40    60.59      16.54      3      3     74.12      13.53      90.66      30.07
  31    47.30      13.26      1      1     76.73      29.42      89.98      42.68
  43    68.65      12.62      0      0     86.78      18.13      99.40      30.74
  46    71.64      1.31      1      1     89.98      18.34      91.30      19.66
  44    70.58      11.75      3      3     90.66      20.08      102.41      31.83
  49    77.41      3.79      1      1     91.30      13.88      95.09      17.67
  50    81.95      2.52      1      1     95.09      13.13      97.60      15.65
  41    64.17      3.83      2      2     96.76      32.58      100.59      36.41
  52    92.54      2.87      1      1     97.60      5.06      100.48      7.94
  45    71.12      3.07      0      0     99.40      28.28      102.47      31.35
  54    96.28      7.20      1      1     100.48      4.19      107.67      11.39
  42    64.80      16.99      2      2     100.59      35.79      117.57      52.78
  48    75.84      9.15      3      3     102.41      26.57      111.56      35.72
  47    73.79      0.74      0      0     102.47      28.69      103.21      29.42
  57    98.77      1.76      0      0     103.21      4.44      104.97      6.20
  58    105.33      6.72      -1      0     105.33      0.00      112.05      6.72
  56    97.99      10.04      1      1     107.67      9.68      117.71      19.72
  53    93.48      2.37      3      3     111.56      18.08      113.93      20.45
  59    105.73      3.76      0      0     112.05      6.32      115.81      10.07
  64    110.79      11.95      3      3     113.93      3.14      125.88      15.09
  60    107.64      9.49      0      0     115.81      8.17      125.30      17.66
  55    96.95      24.41      2      2     117.57      20.62      141.98      45.03
  61    108.81      6.78      1      1     117.71      8.90      124.49      15.68
  62    109.22      10.75      1      1     124.49      15.27      135.24      26.02
  66    116.61      13.98      0      0     125.30      8.69      139.28      22.67
  65    112.01      2.26      3      3     125.88      13.87      128.14      16.13
  69    129.24      1.77      -1      3     129.24      0.00      131.01      1.77
  70    131.28      0.35      -1      3     131.28      0.00      131.63      0.35
  71    132.18      6.63      -1      3     132.18      0.00      138.81      6.63
  68    124.49      17.04      1      1     135.24      10.75      152.29      27.79
  72    132.20      0.51      3      3     138.81      6.61      139.33      7.12
  67    122.25      22.51      0      0     139.28      17.03      161.79      39.54
  77    138.90      4.84      3      3     139.33      0.43      144.17      5.27
  63    110.38      2.11      2      2     141.98      31.60      144.09      33.71
  75    134.40      2.07      2      2     144.09      9.69      146.16      11.76
  78    139.22      16.62      3      3     144.17      4.95      160.79      21.58
  80    145.66      10.21      2      2     146.16      0.50      156.37      10.71
  74    133.82      6.82      1      1     152.29      18.47      159.10      25.28
  81    146.22      1.77      2      2     156.37      10.15      158.14      11.93
  83    149.01      9.41      2      2     158.14      9.14      167.56      18.55
  76    136.55      7.92      1      1     159.10      22.55      167.02      30.47
  82    146.30      1.97      3      3     160.79      14.49      162.77      16.46
  73    132.78      7.64      0      0     161.79      29.02      169.43      36.66
  84    149.04      1.05      3      3     162.77      13.73      163.82      14.78
  93    163.86      19.51      -1      3     163.86      0.00      183.37      19.51
  86    149.73      8.35      1      1     167.02      17.29      175.37      25.64
  91    160.67      1.29      2      2     167.56      6.88      168.85      8.17
  92    160.78      11.36      2      2     168.85      8.07      180.21      19.43
  79    141.87      11.53      0      0     169.43      27.56      180.96      39.09
  89    153.08      4.75      1      1     175.37      22.29      180.12      27.04
